Index,SNOW.Open,SNOW.High,SNOW.Low,SNOW.Close,SNOW.Volume,SNOW.Adjusted
2020-09-16,245,319,231.110000610352,253.929992675781,36099700,253.929992675781
2020-09-17,230.759994506836,241.5,215.240005493164,227.539993286133,11907500,227.539993286133
2020-09-18,235,249,218.589996337891,240,7475400,240
2020-09-21,230,241.5,218.600006103516,228.850006103516,5524900,228.850006103516
2020-09-22,238.5,239,225.149993896484,235.160003662109,3889100,235.160003662109
2020-09-23,243.5,254.800003051758,213,217.389999389648,5851900,217.389999389648
2020-09-24,213.509994506836,230.949996948242,208.550003051758,226.740005493164,4822000,226.740005493164
2020-09-25,228.119995117188,236.259994506836,227.899993896484,229,1985500,229
2020-09-28,235.929992675781,253,235.929992675781,250.410003662109,4241900,250.410003662109
2020-09-29,255,259.700012207031,246.029998779297,259.130004882812,5290600,259.130004882812
2020-09-30,261.5,278.260009765625,243.050003051758,251,5418900,251
2020-10-01,255.25,255.910003662109,238,243.460006713867,3977400,243.460006713867
2020-10-02,232.440002441406,243.119995117188,227,227.100006103516,2726200,227.100006103516
2020-10-05,231.970001220703,243.429992675781,231.20100402832,240,2362100,240
2020-10-06,244.179992675781,247.990005493164,239,245.100006103516,1572800,245.100006103516
2020-10-07,245.5,252.360000610352,245.289993286133,246,1682800,246
2020-10-08,250,250,239.990005493164,240.190002441406,1343800,240.190002441406
2020-10-09,242,243.695007324219,235.470001220703,238,1728000,238
2020-10-12,250.320007324219,251.5,243,243.970001220703,3138900,243.970001220703
2020-10-13,247,250.5,245.270004272461,249.610000610352,1462400,249.610000610352
2020-10-14,251.990005493164,252,239,243.179992675781,1707500,243.179992675781
2020-10-15,236.029998779297,241.354995727539,231.460006713867,241,1843600,241
2020-10-16,242,245.990005493164,241.589996337891,242.520004272461,1016000,242.520004272461
2020-10-19,245,249.860000610352,243,246.779998779297,1535100,246.779998779297
2020-10-20,247,252.5,243.300003051758,251.770004272461,1734300,251.770004272461
2020-10-21,251.649993896484,271.290008544922,250.350006103516,270.609985351562,3359500,270.609985351562
2020-10-22,269.010009765625,301,263,297.089996337891,5192800,297.089996337891
2020-10-23,290.339996337891,294,262.239990234375,265.049987792969,5619300,265.049987792969
2020-10-26,266.070007324219,271,244.630004882812,251.389999389648,4040100,251.389999389648
2020-10-27,254.889999389648,273,253.990005493164,266.769989013672,3492900,266.769989013672
2020-10-28,258.5,272.529998779297,254.009994506836,272.440002441406,2094300,272.440002441406
2020-10-29,273.799987792969,276.220001220703,264.160003662109,265.880004882812,1146900,265.880004882812
2020-10-30,261.029998779297,262.630004882812,241.5,250.020004272461,2397600,250.020004272461
2020-11-02,254.100006103516,260.825012207031,247,252.229995727539,1301000,252.229995727539
2020-11-03,256,264.540008544922,254.050003051758,262.130004882812,1376400,262.130004882812
2020-11-04,270.790008544922,274.869995117188,262.200012207031,263.910003662109,1394700,263.910003662109
